__source_file,instance,algo,algo_seed,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,ablation,UB,runtime_sec,stop_reason
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC500.9,dsatur,0,3,,,,,,,baseline,170,2.7571864277124405,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC500.9,slo,0,3,,,,,,,baseline,172,0.2667561918497085,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC500.9,dsatur,1,3,,,,,,,baseline,170,2.7574627324938774,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC500.9,slo,1,3,,,,,,,baseline,172,0.2640198469161987,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC500.9,iterlp2_full,1,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,full,172,124.7509054839611,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC500.9,dsatur,1,3,,,,,,,baseline,170,3.2881676331162453,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC500.9,slo,1,3,,,,,,,baseline,172,0.3273490965366363,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC500.9,iterlp2_full,1,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,full,172,146.88438667356968,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC500.9,dsatur,2,3,,,,,,,baseline,170,2.770205602049828,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC500.9,slo,2,3,,,,,,,baseline,172,0.2660305649042129,baseline
