instance,algo,UB_mean,UB_min,best_time_mean_sec,runs,runtime_mean_sec
DSJC250.9,iterlp2_full,96.0,96,0.0,1,34.12970831990242
DSJC250.9,slo,96.0,96,0.12703953683376312,1,0.12703953683376312
DSJC250.9,dsatur,92.0,92,0.9208080545067787,1,0.9208080545067787
DSJC250.9,iterlp2_full,96.0,96,0.0,1,41.520228274166584
DSJC250.9,slo,96.0,96,0.1599038690328598,1,0.1599038690328598
DSJC250.9,dsatur,92.0,92,0.8482170030474663,1,0.8482170030474663
DSJC250.9,iterlp2_full,96.0,96,0.0,1,38.97068503499031
DSJC250.9,slo,96.0,96,0.14995843917131424,1,0.14995843917131424
DSJC250.9,dsatur,92.0,92,0.9773809537291527,1,0.9773809537291527
DSJC250.9,iterlp2_full,96.0,96,0.0,1,42.3479518443346
DSJC250.9,slo,96.0,96,0.17419730126857758,1,0.17419730126857758
DSJC250.9,dsatur,92.0,92,0.7332735061645508,1,0.7332735061645508
DSJC250.9,iterlp2_full,96.0,96,0.0,1,33.308543153107166
DSJC250.9,slo,96.0,96,0.1327713057398796,1,0.1327713057398796
DSJC250.9,dsatur,92.0,92,0.7141363993287086,1,0.7141363993287086
DSJC250.9,iterlp2_full,96.0,96,0.0,1,32.67965370416641
DSJC250.9,slo,96.0,96,0.12822246551513672,1,0.12822246551513672
DSJC250.9,dsatur,92.0,92,0.41510235518217087,1,0.41510235518217087
DSJC250.9,iterlp2_full,96.0,96,0.0,1,22.1133933365345
DSJC250.9,slo,96.0,96,0.07312101125717163,1,0.07312101125717163
DSJC250.9,dsatur,92.0,92,0.7285316437482834,1,0.7285316437482834
DSJC250.9,iterlp2_full,96.0,96,0.0,1,34.028860323131084
DSJC250.9,slo,96.0,96,0.12902513146400452,1,0.12902513146400452
DSJC250.9,dsatur,92.0,92,0.9197630435228348,1,0.9197630435228348
DSJC250.9,iterlp2_full,96.0,96,0.0,1,41.538289092481136
DSJC250.9,slo,96.0,96,0.15287867933511734,1,0.15287867933511734
DSJC250.9,dsatur,92.0,92,0.8446557372808456,1,0.8446557372808456
DSJC250.9,iterlp2_full,96.0,96,0.0,1,39.097304828464985
DSJC250.9,slo,96.0,96,0.14977944642305374,1,0.14977944642305374
DSJC500.9,dsatur,170.0,170,3.2455504164099693,1,3.2455504164099693
DSJC500.9,iterlp2_full,172.0,172,0.0,1,147.05901416391134
DSJC500.9,slo,172.0,172,0.32558538764715195,1,0.32558538764715195
DSJC500.9,dsatur,170.0,170,8.645105049014091,1,8.645105049014091
DSJC500.9,iterlp2_full,172.0,172,0.0,1,640.7693773210049
DSJC500.9,slo,172.0,172,0.6972326263785362,1,0.6972326263785362
DSJC500.9,dsatur,170.0,170,6.53374096006155,1,6.53374096006155
DSJC500.9,iterlp2_full,172.0,172,0.0,1,257.1808582767844
DSJC500.9,slo,172.0,172,0.5405330583453178,1,0.5405330583453178
DSJC500.9,dsatur,170.0,170,6.113319709897041,1,6.113319709897041
DSJC500.9,iterlp2_full,172.0,172,0.0,1,250.85061874240637
DSJC500.9,slo,172.0,172,0.5352531969547272,1,0.5352531969547272
DSJC500.9,dsatur,170.0,170,3.277980200946331,1,3.277980200946331
DSJC500.9,iterlp2_full,172.0,172,0.0,1,145.85353273898363
DSJC500.9,slo,172.0,172,0.3286987841129303,1,0.3286987841129303
DSJC500.9,dsatur,170.0,170,2.964271552860737,1,2.964271552860737
DSJC500.9,iterlp2_full,172.0,172,0.0,1,131.17475998401642
DSJC500.9,slo,172.0,172,0.30024392902851105,1,0.30024392902851105
DSJC500.9,dsatur,170.0,170,3.496051140129566,1,3.496051140129566
DSJC500.9,iterlp2_full,172.0,172,0.0,1,162.57351814210415
DSJC500.9,slo,172.0,172,0.3477877676486969,1,0.3477877676486969
DSJC500.9,dsatur,170.0,170,8.797119438648224,1,8.797119438648224
DSJC500.9,iterlp2_full,172.0,172,0.0,1,656.4645229652524
DSJC500.9,slo,172.0,172,0.7019914835691452,1,0.7019914835691452
DSJC500.9,dsatur,170.0,170,6.619724981486797,1,6.619724981486797
DSJC500.9,iterlp2_full,172.0,172,0.0,1,253.1617638990283
DSJC500.9,slo,172.0,172,0.5407880544662476,1,0.5407880544662476
DSJC500.9,dsatur,170.0,170,6.079895779490471,1,6.079895779490471
DSJC500.9,iterlp2_full,172.0,172,0.0,1,248.23114220798016
DSJC500.9,slo,172.0,172,0.5357018038630486,1,0.5357018038630486
DSJC500.9,dsatur,170.0,170,8.35310347378254,1,8.35310347378254
