instance,family,n,m,density,avg_deg,algo,algo_seed,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,LB,UB,gap,feasible,conflicts,runtime_sec,iters,stop_reason,best_time_sec,best_round,ablation
fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,iterlp2_full,0,6000,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,41,65,24,True,0,6114.099357716739,12,time_limit,0.0,0,full
fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,iterlp2_full,1,6000,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,41,65,24,True,0,6148.760307528079,12,time_limit,0.0,0,full
fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,iterlp2_full,2,6000,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,41,65,24,True,0,6133.800585106015,12,time_limit,0.0,0,full
inithx.i.1,dimacs,864,18707,0.050177567486373975,43.30324074074074,dsatur,0,6000,,,,,,,35,54,19,True,0,1.5194549262523651,0,baseline,1.5194549262523651,0,
inithx.i.1,dimacs,864,18707,0.050177567486373975,43.30324074074074,dsatur,1,6000,,,,,,,35,54,19,True,0,1.5102141052484512,0,baseline,1.5102141052484512,0,
inithx.i.1,dimacs,864,18707,0.050177567486373975,43.30324074074074,dsatur,2,6000,,,,,,,35,54,19,True,0,1.5178156942129135,0,baseline,1.5178156942129135,0,
inithx.i.1,dimacs,864,18707,0.050177567486373975,43.30324074074074,slo,0,6000,,,,,,,35,54,19,True,0,0.0497298464179039,0,baseline,0.0497298464179039,0,
inithx.i.1,dimacs,864,18707,0.050177567486373975,43.30324074074074,slo,1,6000,,,,,,,35,54,19,True,0,0.04750877618789673,0,baseline,0.04750877618789673,0,
inithx.i.1,dimacs,864,18707,0.050177567486373975,43.30324074074074,slo,2,6000,,,,,,,35,54,19,True,0,0.05182214081287384,0,baseline,0.05182214081287384,0,
inithx.i.1,dimacs,864,18707,0.050177567486373975,43.30324074074074,iterlp2_full,0,6000,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,35,54,19,True,0,7137.239753067493,6,time_limit,0.0,0,full
inithx.i.1,dimacs,864,18707,0.050177567486373975,43.30324074074074,iterlp2_full,1,6000,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,35,54,19,True,0,7154.404541373253,6,time_limit,0.0,0,full
inithx.i.1,dimacs,864,18707,0.050177567486373975,43.30324074074074,iterlp2_full,2,6000,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,35,54,19,True,0,6013.574489168823,5,time_limit,0.0,0,full
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,dsatur,0,10,,,,,,,2,4,2,True,0,0.00030556321144104004,0,baseline,0.00030556321144104004,0,
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,dsatur,1,10,,,,,,,2,4,2,True,0,0.0001313909888267517,0,baseline,0.0001313909888267517,0,
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,dsatur,2,10,,,,,,,2,4,2,True,0,0.00010720640420913696,0,baseline,0.00010720640420913696,0,
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,slo,0,10,,,,,,,2,4,2,True,0,0.00022591650485992432,0,baseline,0.00022591650485992432,0,
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,slo,1,10,,,,,,,2,4,2,True,0,0.0001356080174446106,0,baseline,0.0001356080174446106,0,
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,slo,2,10,,,,,,,2,4,2,True,0,0.00012522190809249878,0,baseline,0.00012522190809249878,0,
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,iterlp2_full,0,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,2,4,2,True,0,1.8089423924684525,9,stalled_at_K_eq_ceil_zLP,0.0,0,full
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,iterlp2_full,1,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,2,4,2,True,0,1.7411962673068047,9,stalled_at_K_eq_ceil_zLP,0.0,0,full
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,iterlp2_full,2,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,2,4,2,True,0,1.775933876633644,9,stalled_at_K_eq_ceil_zLP,0.0,0,full
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,dsatur,0,10,,,,,,,2,5,3,True,0,0.0005917549133300781,0,baseline,0.0005917549133300781,0,
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,dsatur,1,10,,,,,,,2,5,3,True,0,0.00040112435817718506,0,baseline,0.00040112435817718506,0,
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,dsatur,2,10,,,,,,,2,5,3,True,0,0.00039931386709213257,0,baseline,0.00039931386709213257,0,
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,slo,0,10,,,,,,,2,5,3,True,0,0.0003320947289466858,0,baseline,0.0003320947289466858,0,
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,slo,1,10,,,,,,,2,5,3,True,0,0.0002828165888786316,0,baseline,0.0002828165888786316,0,
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,slo,2,10,,,,,,,2,5,3,True,0,0.00029083341360092163,0,baseline,0.00029083341360092163,0,
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,iterlp2_full,0,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,2,5,3,True,0,10.289728000760078,29,time_limit,0.0,0,full
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,iterlp2_full,1,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,2,5,3,True,0,10.207233421504498,30,time_limit,0.0,0,full
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,iterlp2_full,2,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,2,5,3,True,0,10.219344578683376,31,time_limit,0.0,0,full
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,dsatur,0,10,,,,,,,2,6,4,True,0,0.00189121812582016,0,baseline,0.00189121812582016,0,
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,dsatur,1,10,,,,,,,2,6,4,True,0,0.0016848519444465637,0,baseline,0.0016848519444465637,0,
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,dsatur,2,10,,,,,,,2,6,4,True,0,0.0016716942191123962,0,baseline,0.0016716942191123962,0,
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,slo,0,10,,,,,,,2,6,4,True,0,0.0008120983839035034,0,baseline,0.0008120983839035034,0,
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,slo,1,10,,,,,,,2,6,4,True,0,0.0007767602801322937,0,baseline,0.0007767602801322937,0,
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,slo,2,10,,,,,,,2,6,4,True,0,0.0007890164852142334,0,baseline,0.0007890164852142334,0,
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,iterlp2_full,0,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,2,6,4,True,0,10.194656066596508,15,time_limit,0.0,0,full
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,iterlp2_full,1,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,2,6,4,True,0,10.573778331279755,14,time_limit,0.0,0,full
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,iterlp2_full,2,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,2,6,4,True,0,10.348558612167835,15,time_limit,0.0,0,full
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,dsatur,1,3,,,,,,,53,299,246,True,0,54.31706617772579,0,baseline,54.31706617772579,0,
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,slo,1,3,,,,,,,53,316,263,True,0,1.5692853704094887,0,baseline,1.5692853704094887,0,
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,1,3,smallest_last,prefix_shrink+rounded_support,0.25,2,2,1e-06,53,316,263,True,0,1127.5901445299387,0,time_limit,0.0,0,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,0,3,,,,,,,34,92,58,True,0,0.40747933089733124,0,baseline,0.40747933089733124,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,0,3,,,,,,,34,96,62,True,0,0.07469450682401657,0,baseline,0.07469450682401657,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,0,3,smallest_last,prefix_shrink+rounded_support,0.25,5,4,1e-06,34,96,62,True,0,22.3386242762208,0,time_limit,0.0,0,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,0,3,,,,,,,34,92,58,True,0,0.40649591386318207,0,baseline,0.40649591386318207,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,0,3,,,,,,,34,96,62,True,0,0.0761527270078659,0,baseline,0.0761527270078659,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,0,3,smallest_last,prefix_shrink+rounded_support,0.25,5,4,1e-06,34,96,62,True,0,21.887541957199574,0,time_limit,0.0,0,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,0,3,,,,,,,34,92,58,True,0,0.7141140922904015,0,baseline,0.7141140922904015,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,0,3,,,,,,,34,96,62,True,0,0.13025487214326859,0,baseline,0.13025487214326859,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,0,3,smallest_last,prefix_shrink+rounded_support,0.25,5,4,1e-06,34,96,62,True,0,38.75908762961626,0,time_limit,0.0,0,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,0,3,,,,,,,34,92,58,True,0,0.9095845445990562,0,baseline,0.9095845445990562,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,0,3,,,,,,,34,96,62,True,0,0.15427608042955399,0,baseline,0.15427608042955399,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,0,3,smallest_last,prefix_shrink+rounded_support,0.25,5,4,1e-06,34,96,62,True,0,46.026148445904255,0,time_limit,0.0,0,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,0,3,,,,,,,34,92,58,True,0,0.8317125514149666,0,baseline,0.8317125514149666,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,0,3,,,,,,,34,96,62,True,0,0.1516709327697754,0,baseline,0.1516709327697754,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,0,3,smallest_last,prefix_shrink+rounded_support,0.25,2,2,1e-06,34,96,62,True,0,44.017826430499554,0,time_limit,0.0,0,full
